Processed Iteration 50,episodic return -106.49741571211598, reward_pressure: 1.0
Processed Iteration 100,episodic return 384.3118587149848, reward_pressure: 1.0
Processed Iteration 150,episodic return 639.6556831455745, reward_pressure: 1.0
Processed Iteration 200,episodic return 772.2491157374383, reward_pressure: 1.0
Processed Iteration 250,episodic return 886.6484227867903, reward_pressure: 1.0
Processed Iteration 300,episodic return 924.4216740390515, reward_pressure: 1.0
Processed Iteration 350,episodic return 1008.51075625257, reward_pressure: 1.0
Processed Iteration 400,episodic return 976.5760367653304, reward_pressure: 0.9650000000000007
Processed Iteration 450,episodic return 1040.1333864445357, reward_pressure: 0.914999999999999
Processed Iteration 500,episodic return 1005.942086237552, reward_pressure: 0.8770000000000003
Processed Iteration 550,episodic return 992.7640144337082, reward_pressure: 0.8879999999999998
Processed Iteration 600,episodic return 1001.2139700841408, reward_pressure: 0.8379999999999996
Processed Iteration 650,episodic return 972.4082715122568, reward_pressure: 0.7880000000000003
Processed Iteration 700,episodic return 998.6779307568816, reward_pressure: 0.7380000000000002
Processed Iteration 750,episodic return 967.3841780572421, reward_pressure: 0.6879999999999993
Processed Iteration 800,episodic return 1024.4977854951107, reward_pressure: 0.6379999999999998
Processed Iteration 850,episodic return 1026.8115221974303, reward_pressure: 0.5880000000000003
Processed Iteration 900,episodic return 1015.5063493743968, reward_pressure: 0.5379999999999998
Processed Iteration 950,episodic return 1012.003421425466, reward_pressure: 0.48799999999999977
Processed Iteration 1000,episodic return 988.5888604420766, reward_pressure: 0.43799999999999917
Processed Iteration 1050,episodic return 1008.1265808091708, reward_pressure: 0.42599999999999943
Processed Iteration 1100,episodic return 1027.9488323462572, reward_pressure: 0.4239999999999995
Processed Iteration 1150,episodic return 1000.1558094702991, reward_pressure: 0.3739999999999999
Processed Iteration 1200,episodic return 1034.7594925123342, reward_pressure: 0.3239999999999993
Processed Iteration 1250,episodic return 1036.1864130191452, reward_pressure: 0.27399999999999985
Processed Iteration 1300,episodic return 1018.2712780591427, reward_pressure: 0.22399999999999948
Processed Iteration 1350,episodic return 1016.216460472256, reward_pressure: 0.17399999999999963
Processed Iteration 1400,episodic return 978.6331524682396, reward_pressure: 0.12399999999999962
Processed Iteration 1450,episodic return 969.7822725839958, reward_pressure: 0.07399999999999975
Processed Iteration 1500,episodic return 971.1586055806281, reward_pressure: 0.023999999999999848
Processed Iteration 1550,episodic return 993.4450711849128, reward_pressure: 0.0
Processed Iteration 1600,episodic return 990.7850165753251, reward_pressure: 0.0
Processed Iteration 1650,episodic return 1000.3841373341678, reward_pressure: 0.0
Processed Iteration 1700,episodic return 978.70432768991, reward_pressure: 0.0
Processed Iteration 1750,episodic return 966.0431214977193, reward_pressure: 0.0
Processed Iteration 1800,episodic return 947.8188640558818, reward_pressure: 0.0
Processed Iteration 1850,episodic return 939.5488019460166, reward_pressure: 0.0
Processed Iteration 1900,episodic return 934.9328794819734, reward_pressure: 0.0
Processed Iteration 1950,episodic return 912.8909362849123, reward_pressure: 0.0
Processed Iteration 2000,episodic return 916.3167683082684, reward_pressure: 0.0
