Processed Iteration 50,episodic return -93.15410148849978, reward_pressure: 1.0
Processed Iteration 100,episodic return 608.0036889110111, reward_pressure: 1.0
Processed Iteration 150,episodic return 1427.4914840412728, reward_pressure: 1.0
Processed Iteration 200,episodic return 1929.9128141532328, reward_pressure: 1.0
Processed Iteration 250,episodic return 2336.482210801576, reward_pressure: 1.0
Processed Iteration 300,episodic return 2145.6624974012384, reward_pressure: 1.0
Processed Iteration 350,episodic return 2302.4766012396676, reward_pressure: 1.0
Processed Iteration 400,episodic return 2298.0368147997783, reward_pressure: 1.0
Processed Iteration 450,episodic return 2158.7296847129296, reward_pressure: 1.0
Processed Iteration 500,episodic return 2431.113489185841, reward_pressure: 1.0
Processed Iteration 550,episodic return 2425.913057058277, reward_pressure: 1.0
Processed Iteration 600,episodic return 2417.2869247234457, reward_pressure: 1.0
Processed Iteration 650,episodic return 2374.5453779422473, reward_pressure: 1.0
Processed Iteration 700,episodic return 2360.7633859503626, reward_pressure: 1.0
Processed Iteration 750,episodic return 2408.6728890568747, reward_pressure: 1.0
Processed Iteration 800,episodic return 2479.236011139363, reward_pressure: 1.0
Processed Iteration 850,episodic return 2553.318986539656, reward_pressure: 1.0
Processed Iteration 900,episodic return 2521.2341998905968, reward_pressure: 1.0
Processed Iteration 950,episodic return 2507.631216916814, reward_pressure: 1.0
Processed Iteration 1000,episodic return 2693.1968174431768, reward_pressure: 1.0
Processed Iteration 1050,episodic return 2635.4864755077615, reward_pressure: 1.0
Processed Iteration 1100,episodic return 2596.661062040158, reward_pressure: 1.0
Processed Iteration 1150,episodic return 2567.8872256322725, reward_pressure: 1.0
Processed Iteration 1200,episodic return 2328.9886312519084, reward_pressure: 1.0
Processed Iteration 1250,episodic return 2432.0972522485476, reward_pressure: 1.0
Processed Iteration 1300,episodic return 2510.3679494073654, reward_pressure: 1.0
Processed Iteration 1350,episodic return 2480.8062718014075, reward_pressure: 1.0
Processed Iteration 1400,episodic return 2526.1828757995527, reward_pressure: 1.0
Processed Iteration 1450,episodic return 2397.0193232127135, reward_pressure: 1.0
Processed Iteration 1500,episodic return 2496.0193195771394, reward_pressure: 1.0
Processed Iteration 1550,episodic return 2434.770835250259, reward_pressure: 1.0
Processed Iteration 1600,episodic return 2443.4262988339497, reward_pressure: 1.0
Processed Iteration 1650,episodic return 2410.2578595598234, reward_pressure: 1.0
Processed Iteration 1700,episodic return 2544.758268216688, reward_pressure: 1.0
Processed Iteration 1750,episodic return 2395.3084627880185, reward_pressure: 1.0
Processed Iteration 1800,episodic return 2229.664653070804, reward_pressure: 1.0
Processed Iteration 1850,episodic return 2478.949511978223, reward_pressure: 1.0
Processed Iteration 1900,episodic return 2493.2163863770293, reward_pressure: 1.0
Processed Iteration 1950,episodic return 2542.1072801135174, reward_pressure: 1.0
Processed Iteration 2000,episodic return 2500.2741107437473, reward_pressure: 1.0
