Processed Iteration 50,episodic return -35.955619901392936, reward_pressure: 1.0
Processed Iteration 100,episodic return 440.372110988352, reward_pressure: 1.0
Processed Iteration 150,episodic return 869.0238029378723, reward_pressure: 1.0
Processed Iteration 200,episodic return 1270.1678788797844, reward_pressure: 1.0
Processed Iteration 250,episodic return 1494.473959876982, reward_pressure: 1.0
Processed Iteration 300,episodic return 1687.5010274565616, reward_pressure: 1.0
Processed Iteration 350,episodic return 1791.431144793004, reward_pressure: 1.0
Processed Iteration 400,episodic return 2003.7066906468858, reward_pressure: 1.0
Processed Iteration 450,episodic return 2061.4935392902157, reward_pressure: 1.0
Processed Iteration 500,episodic return 2242.015886476352, reward_pressure: 1.0
Processed Iteration 550,episodic return 2337.5297403318446, reward_pressure: 1.0
Processed Iteration 600,episodic return 2359.0444586035505, reward_pressure: 1.0
Processed Iteration 650,episodic return 2342.384782798847, reward_pressure: 1.0
Processed Iteration 700,episodic return 2210.4711693865497, reward_pressure: 1.0
Processed Iteration 750,episodic return 2261.744678984252, reward_pressure: 1.0
Processed Iteration 800,episodic return 2227.1282348462055, reward_pressure: 1.0
Processed Iteration 850,episodic return 2343.4284456927153, reward_pressure: 1.0
Processed Iteration 900,episodic return 2346.786802801851, reward_pressure: 1.0
Processed Iteration 950,episodic return 2363.6836798899653, reward_pressure: 1.0
Processed Iteration 1000,episodic return 2345.928272650886, reward_pressure: 1.0
Processed Iteration 1050,episodic return 2461.732147594638, reward_pressure: 1.0
Processed Iteration 1100,episodic return 2438.2836274398865, reward_pressure: 1.0
Processed Iteration 1150,episodic return 2332.7187803551587, reward_pressure: 1.0
Processed Iteration 1200,episodic return 2293.3162679166558, reward_pressure: 1.0
Processed Iteration 1250,episodic return 2520.1217050630285, reward_pressure: 1.0
Processed Iteration 1300,episodic return 2463.032029798437, reward_pressure: 1.0
Processed Iteration 1350,episodic return 2523.24738473273, reward_pressure: 1.0
Processed Iteration 1400,episodic return 2433.1667061450257, reward_pressure: 1.0
Processed Iteration 1450,episodic return 2489.7421574941995, reward_pressure: 1.0
Processed Iteration 1500,episodic return 2453.119206211695, reward_pressure: 1.0
Processed Iteration 1550,episodic return 2411.0406359971066, reward_pressure: 1.0
Processed Iteration 1600,episodic return 2426.3762032172003, reward_pressure: 1.0
Processed Iteration 1650,episodic return 2439.4234927873113, reward_pressure: 1.0
Processed Iteration 1700,episodic return 2431.511000047411, reward_pressure: 1.0
Processed Iteration 1750,episodic return 2441.1483923230367, reward_pressure: 1.0
Processed Iteration 1800,episodic return 2445.5337969632906, reward_pressure: 1.0
Processed Iteration 1850,episodic return 2380.919058101302, reward_pressure: 1.0
Processed Iteration 1900,episodic return 2360.8824511232997, reward_pressure: 1.0
Processed Iteration 1950,episodic return 2431.0916807954322, reward_pressure: 1.0
Processed Iteration 2000,episodic return 2487.9987907707286, reward_pressure: 1.0
