Processed Iteration 50,episodic return -17.07090749368077, reward_pressure: 1.0
Processed Iteration 100,episodic return 422.6263513219972, reward_pressure: 1.0
Processed Iteration 150,episodic return 666.888622690051, reward_pressure: 1.0
Processed Iteration 200,episodic return 801.7763052049545, reward_pressure: 1.0
Processed Iteration 250,episodic return 860.1678015224543, reward_pressure: 1.0
Processed Iteration 300,episodic return 902.1746785528736, reward_pressure: 0.9550000000000005
Processed Iteration 350,episodic return 934.1446003034465, reward_pressure: 0.9049999999999991
Processed Iteration 400,episodic return 978.7794814154663, reward_pressure: 0.9389999999999997
Processed Iteration 450,episodic return 954.6162899769812, reward_pressure: 1.0
Processed Iteration 500,episodic return 999.3288116041565, reward_pressure: 0.9950000000000001
Processed Iteration 550,episodic return 1025.0526574534013, reward_pressure: 0.9860000000000008
Processed Iteration 600,episodic return 1001.6409782451151, reward_pressure: 0.9509999999999996
Processed Iteration 650,episodic return 1015.6008653267185, reward_pressure: 1.0
Processed Iteration 700,episodic return 1009.8923925124221, reward_pressure: 0.9790000000000009
Processed Iteration 750,episodic return 989.0771779668772, reward_pressure: 0.9289999999999992
Processed Iteration 800,episodic return 1000.535782420219, reward_pressure: 0.8790000000000003
Processed Iteration 850,episodic return 989.9577187705141, reward_pressure: 0.8289999999999996
Processed Iteration 900,episodic return 1008.8378632338806, reward_pressure: 0.7790000000000002
Processed Iteration 950,episodic return 961.6046417461024, reward_pressure: 0.7290000000000001
Processed Iteration 1000,episodic return 985.1340676292473, reward_pressure: 0.678999999999999
Processed Iteration 1050,episodic return 1016.4784885570459, reward_pressure: 0.6290000000000003
Processed Iteration 1100,episodic return 1016.2285483940514, reward_pressure: 0.5790000000000002
Processed Iteration 1150,episodic return 966.8073970114237, reward_pressure: 0.5289999999999996
Processed Iteration 1200,episodic return 996.6184932579739, reward_pressure: 0.47899999999999965
Processed Iteration 1250,episodic return 991.9449261841162, reward_pressure: 0.4289999999999993
Processed Iteration 1300,episodic return 980.7363249682047, reward_pressure: 0.3789999999999999
Processed Iteration 1350,episodic return 960.9732294123211, reward_pressure: 0.3289999999999994
Processed Iteration 1400,episodic return 977.2951374734745, reward_pressure: 0.2789999999999998
Processed Iteration 1450,episodic return 948.042447889482, reward_pressure: 0.22899999999999957
Processed Iteration 1500,episodic return 949.5370840132824, reward_pressure: 0.17899999999999966
Processed Iteration 1550,episodic return 974.9865991615592, reward_pressure: 0.12899999999999961
Processed Iteration 1600,episodic return 932.9755230088401, reward_pressure: 0.07899999999999972
Processed Iteration 1650,episodic return 958.956164267909, reward_pressure: 0.028999999999999807
Processed Iteration 1700,episodic return 936.8034162615836, reward_pressure: 0.0
Processed Iteration 1750,episodic return 955.2265497516012, reward_pressure: 0.0
Processed Iteration 1800,episodic return 943.5258056531076, reward_pressure: 0.0
Processed Iteration 1850,episodic return 965.1292917111691, reward_pressure: 0.0
Processed Iteration 1900,episodic return 988.5671657537988, reward_pressure: 0.0
Processed Iteration 1950,episodic return 982.202074581621, reward_pressure: 0.0
Processed Iteration 2000,episodic return 972.7482557899867, reward_pressure: 0.0
