Processed Iteration 50,episodic return -70.94497363655717, reward_pressure: 1.0
Processed Iteration 100,episodic return 657.9068811491385, reward_pressure: 1.0
Processed Iteration 150,episodic return 1498.2816445337908, reward_pressure: 1.0
Processed Iteration 200,episodic return 2217.662710082997, reward_pressure: 1.0
Processed Iteration 250,episodic return 2455.900901971161, reward_pressure: 1.0
Processed Iteration 300,episodic return 2374.646719170472, reward_pressure: 1.0
Processed Iteration 350,episodic return 2395.365032526057, reward_pressure: 0.9640000000000007
Processed Iteration 400,episodic return 2313.2156000085674, reward_pressure: 0.913999999999999
Processed Iteration 450,episodic return 2506.154064660197, reward_pressure: 0.8640000000000009
Processed Iteration 500,episodic return 2397.6258954918953, reward_pressure: 0.8139999999999996
Processed Iteration 550,episodic return 2548.729259456153, reward_pressure: 0.8500000000000008
Processed Iteration 600,episodic return 2516.2899263584195, reward_pressure: 0.7999999999999997
Processed Iteration 650,episodic return 2681.581579592268, reward_pressure: 0.7709999999999997
Processed Iteration 700,episodic return 2657.21288809581, reward_pressure: 0.7880000000000001
Processed Iteration 750,episodic return 2570.782830685244, reward_pressure: 0.8470000000000004
Processed Iteration 800,episodic return 2720.2183248501306, reward_pressure: 0.7969999999999999
Processed Iteration 850,episodic return 2565.019282034625, reward_pressure: 0.747
Processed Iteration 900,episodic return 2565.6384327944775, reward_pressure: 0.6969999999999995
Processed Iteration 950,episodic return 2643.5671742030227, reward_pressure: 0.6469999999999994
Processed Iteration 1000,episodic return 2689.240992960954, reward_pressure: 0.5970000000000004
Processed Iteration 1050,episodic return 2654.0105771078906, reward_pressure: 0.5469999999999999
Processed Iteration 1100,episodic return 2648.0575468590687, reward_pressure: 0.4969999999999999
Processed Iteration 1150,episodic return 2677.0855282925413, reward_pressure: 0.4609999999999995
Processed Iteration 1200,episodic return 2588.648118012412, reward_pressure: 0.48899999999999977
Processed Iteration 1250,episodic return 2663.396194722689, reward_pressure: 0.4389999999999992
Processed Iteration 1300,episodic return 2622.018562355935, reward_pressure: 0.3890000000000002
Processed Iteration 1350,episodic return 2724.44985717111, reward_pressure: 0.3919999999999997
Processed Iteration 1400,episodic return 2687.380701945277, reward_pressure: 0.3579999999999998
Processed Iteration 1450,episodic return 2667.961485514266, reward_pressure: 0.3079999999999994
Processed Iteration 1500,episodic return 2526.5534521669256, reward_pressure: 0.25799999999999984
Processed Iteration 1550,episodic return 2738.81885829674, reward_pressure: 0.20799999999999944
Processed Iteration 1600,episodic return 2735.42379507785, reward_pressure: 0.15799999999999953
Processed Iteration 1650,episodic return 2796.8183505709535, reward_pressure: 0.10799999999999965
Processed Iteration 1700,episodic return 2879.7436602236357, reward_pressure: 0.0579999999999997
Processed Iteration 1750,episodic return 2819.671660010742, reward_pressure: 0.00799999999999995
Processed Iteration 1800,episodic return 2823.516393798805, reward_pressure: 0.024000000000000007
Processed Iteration 1850,episodic return 2862.4711583529115, reward_pressure: 0.07800000000000006
Processed Iteration 1900,episodic return 2804.578518979707, reward_pressure: 0.07699999999999994
Processed Iteration 1950,episodic return 2752.5291543968474, reward_pressure: 0.09499999999999999
Processed Iteration 2000,episodic return 2691.066181784678, reward_pressure: 0.045
