Processed Iteration 50,episodic return 120.68745380795184, reward_pressure: 1.0
Processed Iteration 100,episodic return 166.78281114719127, reward_pressure: 1.0
Processed Iteration 150,episodic return 219.28622014106364, reward_pressure: 1.0
Processed Iteration 200,episodic return 250.56490554286054, reward_pressure: 1.0
Processed Iteration 250,episodic return 265.2817894376374, reward_pressure: 0.9520000000000006
Processed Iteration 300,episodic return 294.4868175747173, reward_pressure: 0.9019999999999991
Processed Iteration 350,episodic return 296.13467882838484, reward_pressure: 0.8520000000000008
Processed Iteration 400,episodic return 289.78361149053006, reward_pressure: 0.8019999999999997
Processed Iteration 450,episodic return 323.19986183219805, reward_pressure: 0.8110000000000008
Processed Iteration 500,episodic return 333.99424866140237, reward_pressure: 0.8329999999999997
Processed Iteration 550,episodic return 346.74832725957174, reward_pressure: 0.7840000000000003
Processed Iteration 600,episodic return 408.87234628696956, reward_pressure: 0.848
Processed Iteration 650,episodic return 394.27128290783713, reward_pressure: 0.9220000000000005
Processed Iteration 700,episodic return 405.3338868579721, reward_pressure: 0.9460000000000005
Processed Iteration 750,episodic return 642.5501930786565, reward_pressure: 0.9839999999999999
Processed Iteration 800,episodic return 1126.3397158429584, reward_pressure: 1.0
Processed Iteration 850,episodic return 1957.3225120994634, reward_pressure: 1.0
Processed Iteration 900,episodic return 1992.027273355487, reward_pressure: 0.9889999999999998
Processed Iteration 950,episodic return 1722.1765909596193, reward_pressure: 0.9770000000000006
Processed Iteration 1000,episodic return 4754.625862062697, reward_pressure: 1.0
Processed Iteration 1050,episodic return 4993.659025542295, reward_pressure: 1.0
Processed Iteration 1100,episodic return 2751.9675911652944, reward_pressure: 0.9630000000000006
Processed Iteration 1150,episodic return 3649.0726115986945, reward_pressure: 0.9430000000000005
Processed Iteration 1200,episodic return 4256.442808252261, reward_pressure: 0.919999999999999
Processed Iteration 1250,episodic return 5061.371322782237, reward_pressure: 0.9430000000000005
Processed Iteration 1300,episodic return 3684.7035396658493, reward_pressure: 0.9069999999999991
Processed Iteration 1350,episodic return 5079.1842989638, reward_pressure: 0.8570000000000008
Processed Iteration 1400,episodic return 1565.6715300552275, reward_pressure: 0.8069999999999997
Processed Iteration 1450,episodic return 1474.5389907247836, reward_pressure: 0.7569999999999999
Processed Iteration 1500,episodic return 2327.7070045542014, reward_pressure: 0.7069999999999997
Processed Iteration 1550,episodic return 1327.6774487220048, reward_pressure: 0.6569999999999994
Processed Iteration 1600,episodic return 1648.2724837601056, reward_pressure: 0.6070000000000004
Processed Iteration 1650,episodic return 7226.877510276331, reward_pressure: 0.5569999999999999
Processed Iteration 1700,episodic return 7224.636118092712, reward_pressure: 0.507
Processed Iteration 1750,episodic return 5689.464164849762, reward_pressure: 0.4569999999999994
Processed Iteration 1800,episodic return 5795.94706466992, reward_pressure: 0.4069999999999997
Processed Iteration 1850,episodic return 6598.590568463673, reward_pressure: 0.35699999999999976
Processed Iteration 1900,episodic return 2506.507542380797, reward_pressure: 0.30699999999999933
Processed Iteration 1950,episodic return 521.1659731109005, reward_pressure: 0.2569999999999999
Processed Iteration 2000,episodic return 479.16534995688727, reward_pressure: 0.20699999999999946
