Processed Iteration 50,episodic return -176.97474101468765, reward_pressure: 1.0
Processed Iteration 100,episodic return 153.02193704964415, reward_pressure: 1.0
Processed Iteration 150,episodic return 597.5507624375866, reward_pressure: 1.0
Processed Iteration 200,episodic return 770.6441730038279, reward_pressure: 1.0
Processed Iteration 250,episodic return 910.4165381641423, reward_pressure: 1.0
Processed Iteration 300,episodic return 1770.7757114580754, reward_pressure: 1.0
Processed Iteration 350,episodic return 2151.881447114251, reward_pressure: 0.9919999999999999
Processed Iteration 400,episodic return 2268.430679249748, reward_pressure: 1.0
Processed Iteration 450,episodic return 2435.8478324328735, reward_pressure: 0.991
Processed Iteration 500,episodic return 2518.8096852310246, reward_pressure: 1.0
Processed Iteration 550,episodic return 2505.085370849034, reward_pressure: 1.0
Processed Iteration 600,episodic return 2584.447290281241, reward_pressure: 1.0
Processed Iteration 650,episodic return 2515.8629355023536, reward_pressure: 0.9630000000000006
Processed Iteration 700,episodic return 2432.124067102054, reward_pressure: 0.9129999999999991
Processed Iteration 750,episodic return 2536.313419734727, reward_pressure: 0.8630000000000009
Processed Iteration 800,episodic return 2476.9578347000065, reward_pressure: 0.8129999999999997
Processed Iteration 850,episodic return 2352.6097070167225, reward_pressure: 0.763
Processed Iteration 900,episodic return 2461.3558199073086, reward_pressure: 0.7269999999999996
Processed Iteration 950,episodic return 2317.765440243302, reward_pressure: 0.7360000000000002
Processed Iteration 1000,episodic return 2624.9162654113957, reward_pressure: 0.6859999999999993
Processed Iteration 1050,episodic return 2498.4507525515482, reward_pressure: 0.6359999999999999
Processed Iteration 1100,episodic return 2705.5367730157263, reward_pressure: 0.5860000000000002
Processed Iteration 1150,episodic return 2705.9808965436555, reward_pressure: 0.5359999999999997
Processed Iteration 1200,episodic return 2651.6219397389405, reward_pressure: 0.4859999999999997
Processed Iteration 1250,episodic return 2799.954355902479, reward_pressure: 0.4649999999999996
Processed Iteration 1300,episodic return 2526.367787099288, reward_pressure: 0.4849999999999997
Processed Iteration 1350,episodic return 2447.9368446109747, reward_pressure: 0.43499999999999917
Processed Iteration 1400,episodic return 2640.341153305538, reward_pressure: 0.3850000000000001
Processed Iteration 1450,episodic return 2783.6128944563457, reward_pressure: 0.3349999999999995
Processed Iteration 1500,episodic return 2642.3639977807125, reward_pressure: 0.2849999999999997
Processed Iteration 1550,episodic return 2406.958414358477, reward_pressure: 0.23499999999999965
Processed Iteration 1600,episodic return 2343.031728401919, reward_pressure: 0.1849999999999997
Processed Iteration 1650,episodic return 2421.9005656077456, reward_pressure: 0.1349999999999996
Processed Iteration 1700,episodic return 2492.1971553912344, reward_pressure: 0.0849999999999997
Processed Iteration 1750,episodic return 2605.4513159801663, reward_pressure: 0.03499999999999976
Processed Iteration 1800,episodic return 2337.175608240752, reward_pressure: 0.0
Processed Iteration 1850,episodic return 2517.4952969447336, reward_pressure: 0.0
Processed Iteration 1900,episodic return 2675.4399791931723, reward_pressure: 0.0
Processed Iteration 1950,episodic return 2616.5381720789483, reward_pressure: 0.0
Processed Iteration 2000,episodic return 2759.7705974295577, reward_pressure: 0.0
