Processed Iteration 50,episodic return 189.9848397208322, reward_pressure: 1.0
Processed Iteration 100,episodic return 340.3815086419927, reward_pressure: 1.0
Processed Iteration 150,episodic return 648.6242510310203, reward_pressure: 1.0
Processed Iteration 200,episodic return 871.1878306064287, reward_pressure: 1.0
Processed Iteration 250,episodic return 1009.9198909375332, reward_pressure: 1.0
Processed Iteration 300,episodic return 1115.7329470324578, reward_pressure: 1.0
Processed Iteration 350,episodic return 1004.4683435226906, reward_pressure: 1.0
Processed Iteration 400,episodic return 1361.7868009084032, reward_pressure: 1.0
Processed Iteration 450,episodic return 1452.1562067138702, reward_pressure: 0.9992
Processed Iteration 500,episodic return 1382.4245276037846, reward_pressure: 0.9883999999999992
Processed Iteration 550,episodic return 1480.1563761512627, reward_pressure: 1.0
Processed Iteration 600,episodic return 1514.5602307484025, reward_pressure: 0.988799999999999
Processed Iteration 650,episodic return 1525.6605168525386, reward_pressure: 0.9688000000000005
Processed Iteration 700,episodic return 1514.7231157226292, reward_pressure: 0.9624000000000004
Processed Iteration 750,episodic return 1483.2741587895434, reward_pressure: 1.0
Processed Iteration 800,episodic return 1551.6476434535027, reward_pressure: 0.9968
Processed Iteration 850,episodic return 1518.4577984898503, reward_pressure: 1.0
Processed Iteration 900,episodic return 1640.6332332990462, reward_pressure: 0.987599999999999
Processed Iteration 950,episodic return 1549.9508075941135, reward_pressure: 0.9676000000000006
Processed Iteration 1000,episodic return 1612.5587142198538, reward_pressure: 0.9475999999999998
Processed Iteration 1050,episodic return 1456.764525667075, reward_pressure: 0.9276000000000009
Processed Iteration 1100,episodic return 1386.8780022468372, reward_pressure: 0.9075999999999991
Processed Iteration 1150,episodic return 1399.5218567773422, reward_pressure: 0.8876000000000005
Processed Iteration 1200,episodic return 1462.5711080607261, reward_pressure: 0.8675999999999995
Processed Iteration 1250,episodic return 1479.2087869979566, reward_pressure: 0.8476000000000005
Processed Iteration 1300,episodic return 1440.3140650264208, reward_pressure: 0.8276
Processed Iteration 1350,episodic return 1557.8621983081935, reward_pressure: 0.8075999999999998
Processed Iteration 1400,episodic return 1486.7754591642138, reward_pressure: 0.7876000000000006
Processed Iteration 1450,episodic return 1441.9950687272662, reward_pressure: 0.7675999999999986
Processed Iteration 1500,episodic return 1542.2744385968015, reward_pressure: 0.7475999999999996
Processed Iteration 1550,episodic return 1459.6282759447336, reward_pressure: 0.7275999999999994
Processed Iteration 1600,episodic return 1511.2251079481503, reward_pressure: 0.7075999999999997
Processed Iteration 1650,episodic return 1526.1712165124811, reward_pressure: 0.6875999999999997
Processed Iteration 1700,episodic return 1394.1201421822216, reward_pressure: 0.6675999999999997
Processed Iteration 1750,episodic return 1533.611215299967, reward_pressure: 0.6476000000000003
Processed Iteration 1800,episodic return 1548.6337940277062, reward_pressure: 0.6276000000000004
Processed Iteration 1850,episodic return 1569.7600303446272, reward_pressure: 0.6076000000000004
Processed Iteration 1900,episodic return 1607.6290694262207, reward_pressure: 0.587599999999999
Processed Iteration 1950,episodic return 1432.7791444840561, reward_pressure: 0.5675999999999992
Processed Iteration 2000,episodic return 1387.4740996777664, reward_pressure: 0.5475999999999993
