Processed Iteration 50,episodic return -99.06727009137, reward_pressure: 1.0
Processed Iteration 100,episodic return 906.3415745794197, reward_pressure: 1.0
Processed Iteration 150,episodic return 1262.617273136703, reward_pressure: 1.0
Processed Iteration 200,episodic return 1947.8483021277234, reward_pressure: 1.0
Processed Iteration 250,episodic return 2162.186099082969, reward_pressure: 1.0
Processed Iteration 300,episodic return 2882.0521398852375, reward_pressure: 1.0
Processed Iteration 350,episodic return 2884.617331401782, reward_pressure: 0.9919999999999989
Processed Iteration 400,episodic return 3008.0855050524906, reward_pressure: 0.9720000000000004
Processed Iteration 450,episodic return 3021.937307855476, reward_pressure: 0.9743999999999992
Processed Iteration 500,episodic return 3250.8897240327806, reward_pressure: 0.9656000000000006
Processed Iteration 550,episodic return 2829.044404174852, reward_pressure: 0.9455999999999998
Processed Iteration 600,episodic return 3263.736788849045, reward_pressure: 0.925600000000001
Processed Iteration 650,episodic return 2811.376834199389, reward_pressure: 0.9188000000000011
Processed Iteration 700,episodic return 3338.114943164122, reward_pressure: 0.9119999999999999
Processed Iteration 750,episodic return 3454.2166215190814, reward_pressure: 0.9567999999999991
Processed Iteration 800,episodic return 3721.3647230512247, reward_pressure: 0.9795999999999991
Processed Iteration 850,episodic return 3351.195119227161, reward_pressure: 0.9712000000000005
Processed Iteration 900,episodic return 3495.244272701739, reward_pressure: 0.9511999999999997
Processed Iteration 950,episodic return 3523.8183587455637, reward_pressure: 0.9312000000000009
Processed Iteration 1000,episodic return 3440.8960271148053, reward_pressure: 0.9111999999999996
Processed Iteration 1050,episodic return 3301.167115204922, reward_pressure: 0.8912000000000003
Processed Iteration 1100,episodic return 3639.8473117343465, reward_pressure: 0.8711999999999995
Processed Iteration 1150,episodic return 3495.281332553722, reward_pressure: 0.8512000000000006
Processed Iteration 1200,episodic return 3553.9435311597854, reward_pressure: 0.8312
Processed Iteration 1250,episodic return 3189.7128518858367, reward_pressure: 0.8111999999999996
Processed Iteration 1300,episodic return 3382.8653806524353, reward_pressure: 0.7912000000000006
Processed Iteration 1350,episodic return 3642.656776018856, reward_pressure: 0.7711999999999992
Processed Iteration 1400,episodic return 3297.8510216721475, reward_pressure: 0.7511999999999996
Processed Iteration 1450,episodic return 3673.265812073636, reward_pressure: 0.7311999999999993
Processed Iteration 1500,episodic return 3416.477620755026, reward_pressure: 0.7111999999999996
Processed Iteration 1550,episodic return 3761.571068268666, reward_pressure: 0.6911999999999996
Processed Iteration 1600,episodic return 3440.952460225636, reward_pressure: 0.6711999999999998
Processed Iteration 1650,episodic return 3614.681019234714, reward_pressure: 0.6512000000000002
Processed Iteration 1700,episodic return 3532.1512476925272, reward_pressure: 0.6312000000000005
Processed Iteration 1750,episodic return 3206.1470729814046, reward_pressure: 0.6112000000000003
Processed Iteration 1800,episodic return 3167.7366535561387, reward_pressure: 0.5911999999999991
Processed Iteration 1850,episodic return 3229.375897727254, reward_pressure: 0.5711999999999994
Processed Iteration 1900,episodic return 3375.948733590237, reward_pressure: 0.5511999999999992
Processed Iteration 1950,episodic return 3390.532971916217, reward_pressure: 0.5311999999999995
Processed Iteration 2000,episodic return 3516.871283270733, reward_pressure: 0.5111999999999998
