Processed Iteration 50,episodic return -99.63016504633532, reward_pressure: 1.0
Processed Iteration 100,episodic return 636.324474015115, reward_pressure: 1.0
Processed Iteration 150,episodic return 1331.9676974032107, reward_pressure: 1.0
Processed Iteration 200,episodic return 1963.3693034800342, reward_pressure: 1.0
Processed Iteration 250,episodic return 2843.719088281628, reward_pressure: 1.0
Processed Iteration 300,episodic return 3043.857493167365, reward_pressure: 0.9970000000000002
Processed Iteration 350,episodic return 3507.0811527929263, reward_pressure: 1.0
Processed Iteration 400,episodic return 3749.848810463796, reward_pressure: 1.0
Processed Iteration 450,episodic return 4011.893244946307, reward_pressure: 0.9960000000000002
Processed Iteration 500,episodic return 4251.390255377294, reward_pressure: 0.995
Processed Iteration 550,episodic return 4233.843038331356, reward_pressure: 0.9560000000000006
Processed Iteration 600,episodic return 4184.974702361606, reward_pressure: 0.9059999999999993
Processed Iteration 650,episodic return 4129.939606330874, reward_pressure: 0.8560000000000008
Processed Iteration 700,episodic return 4184.7776852868465, reward_pressure: 0.8059999999999998
Processed Iteration 750,episodic return 4274.341321805167, reward_pressure: 0.7559999999999999
Processed Iteration 800,episodic return 4256.331619342813, reward_pressure: 0.7059999999999996
Processed Iteration 850,episodic return 4271.276717115589, reward_pressure: 0.6559999999999994
Processed Iteration 900,episodic return 4241.836400608777, reward_pressure: 0.6060000000000003
Processed Iteration 950,episodic return 3967.3499673851866, reward_pressure: 0.5559999999999999
Processed Iteration 1000,episodic return 4010.820324517346, reward_pressure: 0.5059999999999999
Processed Iteration 1050,episodic return 4199.343681940209, reward_pressure: 0.4579999999999994
Processed Iteration 1100,episodic return 4162.471149134582, reward_pressure: 0.4979999999999999
Processed Iteration 1150,episodic return 4163.108521002673, reward_pressure: 0.5729999999999993
Processed Iteration 1200,episodic return 4166.425224094454, reward_pressure: 0.6220000000000006
Processed Iteration 1250,episodic return 4403.681396452248, reward_pressure: 0.5720000000000001
Processed Iteration 1300,episodic return 4499.421602706267, reward_pressure: 0.5219999999999998
Processed Iteration 1350,episodic return 4356.348992013849, reward_pressure: 0.47199999999999953
Processed Iteration 1400,episodic return 4522.100379781429, reward_pressure: 0.42199999999999954
Processed Iteration 1450,episodic return 4277.550239385423, reward_pressure: 0.3719999999999999
Processed Iteration 1500,episodic return 4363.189851601087, reward_pressure: 0.32199999999999934
Processed Iteration 1550,episodic return 4181.837604655277, reward_pressure: 0.2719999999999999
Processed Iteration 1600,episodic return 4296.400537873603, reward_pressure: 0.22199999999999945
Processed Iteration 1650,episodic return 4304.800547238545, reward_pressure: 0.17199999999999963
Processed Iteration 1700,episodic return 4224.908523813548, reward_pressure: 0.12199999999999964
Processed Iteration 1750,episodic return 4232.243823925723, reward_pressure: 0.07199999999999976
Processed Iteration 1800,episodic return 4245.987615035368, reward_pressure: 0.021999999999999863
Processed Iteration 1850,episodic return 4118.65775574986, reward_pressure: 0.0
Processed Iteration 1900,episodic return 4199.251020654448, reward_pressure: 0.0
Processed Iteration 1950,episodic return 4204.661511803173, reward_pressure: 0.0
Processed Iteration 2000,episodic return 4305.11247659858, reward_pressure: 0.0
