Processed Iteration 50,episodic return -107.06428434198826, reward_pressure: 1.0
Processed Iteration 100,episodic return 436.03142756421056, reward_pressure: 1.0
Processed Iteration 150,episodic return 1211.75560667415, reward_pressure: 1.0
Processed Iteration 200,episodic return 1745.228513035659, reward_pressure: 1.0
Processed Iteration 250,episodic return 2015.5264448757007, reward_pressure: 1.0
Processed Iteration 300,episodic return 2576.3086148108528, reward_pressure: 1.0
Processed Iteration 350,episodic return 2852.270404028704, reward_pressure: 1.0
Processed Iteration 400,episodic return 2956.5098755019985, reward_pressure: 1.0
Processed Iteration 450,episodic return 2981.0467569844745, reward_pressure: 1.0
Processed Iteration 500,episodic return 2982.0449158440842, reward_pressure: 0.9960000000000001
Processed Iteration 550,episodic return 3010.737981096973, reward_pressure: 0.987599999999999
Processed Iteration 600,episodic return 3060.5917216526177, reward_pressure: 0.9904000000000002
Processed Iteration 650,episodic return 2989.736340368025, reward_pressure: 0.9995999999999999
Processed Iteration 700,episodic return 3009.5172710836987, reward_pressure: 0.9795999999999992
Processed Iteration 750,episodic return 3049.0183522792795, reward_pressure: 0.9596000000000007
Processed Iteration 800,episodic return 3122.3444772656703, reward_pressure: 0.9395999999999997
Processed Iteration 850,episodic return 3178.0717668614257, reward_pressure: 0.9307999999999997
Processed Iteration 900,episodic return 3073.500698894006, reward_pressure: 0.9292000000000009
Processed Iteration 950,episodic return 3058.929989810732, reward_pressure: 0.9091999999999993
Processed Iteration 1000,episodic return 3091.4269603359835, reward_pressure: 0.8892000000000004
Processed Iteration 1050,episodic return 3032.6078049432062, reward_pressure: 0.8691999999999994
Processed Iteration 1100,episodic return 3054.7828373952543, reward_pressure: 0.8492000000000004
Processed Iteration 1150,episodic return 3057.107240866524, reward_pressure: 0.8292
Processed Iteration 1200,episodic return 3060.7462714112653, reward_pressure: 0.8164000000000002
Processed Iteration 1250,episodic return 3076.485054689607, reward_pressure: 0.8127999999999996
Processed Iteration 1300,episodic return 3117.681167217689, reward_pressure: 0.7948000000000002
Processed Iteration 1350,episodic return 3135.712632584997, reward_pressure: 0.7980000000000002
Processed Iteration 1400,episodic return 3246.7421644488436, reward_pressure: 0.7780000000000001
Processed Iteration 1450,episodic return 3210.989769300069, reward_pressure: 0.7947999999999997
Processed Iteration 1500,episodic return 3130.135791464785, reward_pressure: 0.7844000000000004
Processed Iteration 1550,episodic return 3258.190930091508, reward_pressure: 0.7748000000000004
Processed Iteration 1600,episodic return 3275.3136948651463, reward_pressure: 0.769599999999999
Processed Iteration 1650,episodic return 3334.5439820733177, reward_pressure: 0.7855999999999996
Processed Iteration 1700,episodic return 3272.483449029614, reward_pressure: 0.7936000000000005
Processed Iteration 1750,episodic return 3376.328225852181, reward_pressure: 0.8356000000000006
Processed Iteration 1800,episodic return 3220.38346383258, reward_pressure: 0.8236000000000001
Processed Iteration 1850,episodic return 3283.544291078219, reward_pressure: 0.8176000000000002
Processed Iteration 1900,episodic return 3299.898868144426, reward_pressure: 0.8059999999999998
Processed Iteration 1950,episodic return 3300.42844434929, reward_pressure: 0.7860000000000005
Processed Iteration 2000,episodic return 3341.1133312333495, reward_pressure: 0.7659999999999987
