Processed Iteration 50,episodic return -206.21981997810653, reward_pressure: 1.0
Processed Iteration 100,episodic return 253.540215016474, reward_pressure: 1.0
Processed Iteration 150,episodic return 1132.721126634834, reward_pressure: 1.0
Processed Iteration 200,episodic return 2139.730055699823, reward_pressure: 1.0
Processed Iteration 250,episodic return 3157.708579079592, reward_pressure: 1.0
Processed Iteration 300,episodic return 3330.987276562544, reward_pressure: 1.0
Processed Iteration 350,episodic return 3337.8801936553955, reward_pressure: 0.985599999999999
Processed Iteration 400,episodic return 3293.794892781002, reward_pressure: 0.9996
Processed Iteration 450,episodic return 3326.1680385353684, reward_pressure: 0.980399999999999
Processed Iteration 500,episodic return 3307.7087125381267, reward_pressure: 0.9691999999999993
Processed Iteration 550,episodic return 3315.251435707146, reward_pressure: 0.9712000000000005
Processed Iteration 600,episodic return 3348.949540631264, reward_pressure: 0.9511999999999997
Processed Iteration 650,episodic return 3362.51185987267, reward_pressure: 0.9312000000000009
Processed Iteration 700,episodic return 3195.374316848598, reward_pressure: 0.9111999999999996
Processed Iteration 750,episodic return 3302.6300688100782, reward_pressure: 0.8912000000000003
Processed Iteration 800,episodic return 3220.5574334490984, reward_pressure: 0.8711999999999995
Processed Iteration 850,episodic return 3144.9994466450935, reward_pressure: 0.8512000000000006
Processed Iteration 900,episodic return 3239.8713124982314, reward_pressure: 0.8312
Processed Iteration 950,episodic return 3275.463885741834, reward_pressure: 0.8111999999999996
Processed Iteration 1000,episodic return 3240.3439519156677, reward_pressure: 0.7912000000000006
Processed Iteration 1050,episodic return 3260.8961421650065, reward_pressure: 0.7711999999999992
Processed Iteration 1100,episodic return 3256.686589196453, reward_pressure: 0.7511999999999996
Processed Iteration 1150,episodic return 3261.1681326670864, reward_pressure: 0.7311999999999993
Processed Iteration 1200,episodic return 3219.92996903227, reward_pressure: 0.7111999999999996
Processed Iteration 1250,episodic return 3107.729177729813, reward_pressure: 0.6911999999999996
Processed Iteration 1300,episodic return 3142.4895495781925, reward_pressure: 0.6711999999999998
Processed Iteration 1350,episodic return 3130.3878483643575, reward_pressure: 0.6512000000000002
Processed Iteration 1400,episodic return 3221.877239761596, reward_pressure: 0.6312000000000005
Processed Iteration 1450,episodic return 3198.722922541552, reward_pressure: 0.6112000000000003
Processed Iteration 1500,episodic return 3129.701382262156, reward_pressure: 0.5911999999999991
Processed Iteration 1550,episodic return 3195.656922952649, reward_pressure: 0.5711999999999994
Processed Iteration 1600,episodic return 3201.4105067289843, reward_pressure: 0.5511999999999992
Processed Iteration 1650,episodic return 3272.2665803540567, reward_pressure: 0.5311999999999995
Processed Iteration 1700,episodic return 3322.8610025075654, reward_pressure: 0.5111999999999998
Processed Iteration 1750,episodic return 3324.1795540918083, reward_pressure: 0.49120000000000014
Processed Iteration 1800,episodic return 3338.4030538596, reward_pressure: 0.4712000000000001
Processed Iteration 1850,episodic return 3331.43073256868, reward_pressure: 0.45119999999999894
Processed Iteration 1900,episodic return 3306.845917093111, reward_pressure: 0.4311999999999992
Processed Iteration 1950,episodic return 3269.4301778287477, reward_pressure: 0.4111999999999993
Processed Iteration 2000,episodic return 3289.0567087536156, reward_pressure: 0.3911999999999991
