Processed Iteration 50,episodic return 127.11831687227347, reward_pressure: 1.0
Processed Iteration 100,episodic return 377.7223607351539, reward_pressure: 1.0
Processed Iteration 150,episodic return 905.0872106789046, reward_pressure: 1.0
Processed Iteration 200,episodic return 1038.5711753542457, reward_pressure: 0.9887999999999997
Processed Iteration 250,episodic return 1056.0587539002277, reward_pressure: 1.0
Processed Iteration 300,episodic return 1072.4100020702492, reward_pressure: 1.0
Processed Iteration 350,episodic return 1077.7202657488683, reward_pressure: 0.9927999999999989
Processed Iteration 400,episodic return 1080.8792207073172, reward_pressure: 0.9728000000000004
Processed Iteration 450,episodic return 1081.5520826252316, reward_pressure: 0.9527999999999998
Processed Iteration 500,episodic return 1080.703894435223, reward_pressure: 0.9328000000000009
Processed Iteration 550,episodic return 1081.9607974933763, reward_pressure: 0.9127999999999998
Processed Iteration 600,episodic return 1082.733804968792, reward_pressure: 0.8928000000000003
Processed Iteration 650,episodic return 1082.8651723881626, reward_pressure: 0.8727999999999995
Processed Iteration 700,episodic return 1083.6401082427406, reward_pressure: 0.8528000000000006
Processed Iteration 750,episodic return 1084.2390079675006, reward_pressure: 0.8328
Processed Iteration 800,episodic return 1084.2803138869565, reward_pressure: 0.8127999999999996
Processed Iteration 850,episodic return 1084.645301034665, reward_pressure: 0.7928000000000006
Processed Iteration 900,episodic return 1085.3907717926982, reward_pressure: 0.7727999999999995
Processed Iteration 950,episodic return 1084.7288648340104, reward_pressure: 0.7527999999999996
Processed Iteration 1000,episodic return 1083.953816245686, reward_pressure: 0.7327999999999993
Processed Iteration 1050,episodic return 1083.6723924589328, reward_pressure: 0.7127999999999995
Processed Iteration 1100,episodic return 1082.5669705032983, reward_pressure: 0.6927999999999996
Processed Iteration 1150,episodic return 1083.510233007473, reward_pressure: 0.6727999999999997
Processed Iteration 1200,episodic return 1082.3461341657378, reward_pressure: 0.6528000000000002
Processed Iteration 1250,episodic return 1082.2213336005373, reward_pressure: 0.6328000000000005
Processed Iteration 1300,episodic return 1082.044079828228, reward_pressure: 0.6128000000000003
Processed Iteration 1350,episodic return 1079.9283559037613, reward_pressure: 0.5927999999999993
Processed Iteration 1400,episodic return 1081.4194448165704, reward_pressure: 0.5727999999999994
Processed Iteration 1450,episodic return 1082.2182894410967, reward_pressure: 0.5527999999999992
Processed Iteration 1500,episodic return 1083.2139998393716, reward_pressure: 0.5327999999999994
Processed Iteration 1550,episodic return 1082.3791861086656, reward_pressure: 0.5127999999999997
Processed Iteration 1600,episodic return 1083.166517172984, reward_pressure: 0.49280000000000007
Processed Iteration 1650,episodic return 1085.0821732752179, reward_pressure: 0.4728000000000002
Processed Iteration 1700,episodic return 1085.423583547656, reward_pressure: 0.45279999999999876
Processed Iteration 1750,episodic return 1086.0857901837983, reward_pressure: 0.4327999999999992
Processed Iteration 1800,episodic return 1088.1726008147175, reward_pressure: 0.4127999999999994
Processed Iteration 1850,episodic return 1086.5914033362988, reward_pressure: 0.3927999999999991
Processed Iteration 1900,episodic return 1083.889797679466, reward_pressure: 0.3727999999999993
Processed Iteration 1950,episodic return 1085.6025910255175, reward_pressure: 0.35279999999999956
Processed Iteration 2000,episodic return 1083.8590857665436, reward_pressure: 0.3327999999999999
Processed Iteration 2050,episodic return 1085.1455378130431, reward_pressure: 0.3127999999999993
Processed Iteration 2100,episodic return 1087.0848941940524, reward_pressure: 0.2927999999999992
Processed Iteration 2150,episodic return 1085.983923302736, reward_pressure: 0.2727999999999995
Processed Iteration 2200,episodic return 1086.621244556247, reward_pressure: 0.2527999999999998
Processed Iteration 2250,episodic return 1092.7821573046413, reward_pressure: 0.25559999999999944
Processed Iteration 2300,episodic return 757.0408607228803, reward_pressure: 0.2743999999999995
Processed Iteration 2350,episodic return 376.11483592407984, reward_pressure: 0.25439999999999974
Processed Iteration 2400,episodic return 354.60636483039985, reward_pressure: 0.23439999999999928
Processed Iteration 2450,episodic return 356.90534747028346, reward_pressure: 0.21439999999999948
Processed Iteration 2500,episodic return 352.6689181114811, reward_pressure: 0.1943999999999994
Processed Iteration 2550,episodic return 365.654060330974, reward_pressure: 0.17439999999999947
Processed Iteration 2600,episodic return 364.6155720696141, reward_pressure: 0.15439999999999943
Processed Iteration 2650,episodic return 376.4737956772323, reward_pressure: 0.13439999999999935
Processed Iteration 2700,episodic return 374.0165399956643, reward_pressure: 0.1143999999999994
Processed Iteration 2750,episodic return 372.3502884101435, reward_pressure: 0.09439999999999929
Processed Iteration 2800,episodic return 380.2197379566401, reward_pressure: 0.07439999999999941
Processed Iteration 2850,episodic return 371.5584667290027, reward_pressure: 0.05439999999999944
Processed Iteration 2900,episodic return 362.04385970485964, reward_pressure: 0.03439999999999937
Processed Iteration 2950,episodic return 364.792635585435, reward_pressure: 0.014399999999999556
Processed Iteration 3000,episodic return 370.05080737248187, reward_pressure: 0.0
