Processed Iteration 50,episodic return -112.25004032339932, reward_pressure: 1.0
Processed Iteration 100,episodic return 436.13591092850123, reward_pressure: 1.0
Processed Iteration 150,episodic return 1946.1318050387051, reward_pressure: 1.0
Processed Iteration 200,episodic return 2485.9156161796195, reward_pressure: 1.0
Processed Iteration 250,episodic return 2522.392237961708, reward_pressure: 1.0
Processed Iteration 300,episodic return 2678.9329153786966, reward_pressure: 1.0
Processed Iteration 350,episodic return 2685.996807773378, reward_pressure: 0.997
Processed Iteration 400,episodic return 2728.8552538636864, reward_pressure: 0.9990000000000001
Processed Iteration 450,episodic return 2818.4908871250536, reward_pressure: 0.9789999999999998
Processed Iteration 500,episodic return 2761.7131235408, reward_pressure: 0.996
Processed Iteration 550,episodic return 2745.27389467427, reward_pressure: 1.0
Processed Iteration 600,episodic return 2766.706199550697, reward_pressure: 0.9570000000000006
Processed Iteration 650,episodic return 2799.9080555597134, reward_pressure: 0.997
Processed Iteration 700,episodic return 2833.161858041968, reward_pressure: 1.0
Processed Iteration 750,episodic return 2749.142840695553, reward_pressure: 0.9590000000000006
Processed Iteration 800,episodic return 2708.7590394233084, reward_pressure: 0.9089999999999993
Processed Iteration 850,episodic return 2619.1540895388516, reward_pressure: 0.8590000000000008
Processed Iteration 900,episodic return 2616.008487340579, reward_pressure: 0.8089999999999997
Processed Iteration 950,episodic return 2681.5375277784683, reward_pressure: 0.7589999999999999
Processed Iteration 1000,episodic return 2790.162461368514, reward_pressure: 0.7089999999999997
Processed Iteration 1050,episodic return 2810.6685762570232, reward_pressure: 0.6589999999999994
Processed Iteration 1100,episodic return 2677.9975612112867, reward_pressure: 0.6090000000000004
Processed Iteration 1150,episodic return 2778.8135962382225, reward_pressure: 0.5589999999999999
Processed Iteration 1200,episodic return 2833.021531774742, reward_pressure: 0.5089999999999999
Processed Iteration 1250,episodic return 2643.5707822290174, reward_pressure: 0.45899999999999935
Processed Iteration 1300,episodic return 2767.1159119484723, reward_pressure: 0.40899999999999964
Processed Iteration 1350,episodic return 2732.990509462162, reward_pressure: 0.35899999999999976
Processed Iteration 1400,episodic return 2763.403067377613, reward_pressure: 0.30899999999999933
Processed Iteration 1450,episodic return 2787.7841483439447, reward_pressure: 0.3459999999999998
Processed Iteration 1500,episodic return 2785.481067322964, reward_pressure: 0.3039999999999994
Processed Iteration 1550,episodic return 2682.9931020506624, reward_pressure: 0.2539999999999999
Processed Iteration 1600,episodic return 2822.7031491227694, reward_pressure: 0.20399999999999946
Processed Iteration 1650,episodic return 2525.130128188624, reward_pressure: 0.15399999999999953
Processed Iteration 1700,episodic return 2698.4910059669382, reward_pressure: 0.10399999999999965
Processed Iteration 1750,episodic return 2824.8014740442864, reward_pressure: 0.053999999999999694
Processed Iteration 1800,episodic return 2777.4856785249967, reward_pressure: 0.003999999999999975
Processed Iteration 1850,episodic return 2810.367908933562, reward_pressure: 0.0
Processed Iteration 1900,episodic return 2799.775957262225, reward_pressure: 0.0
Processed Iteration 1950,episodic return 2749.7204719801252, reward_pressure: 0.0
Processed Iteration 2000,episodic return 2806.0822069310675, reward_pressure: 0.0
