Processed Iteration 50,episodic return 153.28980574746004, reward_pressure: 1.0
Processed Iteration 100,episodic return 471.7853042784863, reward_pressure: 1.0
Processed Iteration 150,episodic return 770.7190576845022, reward_pressure: 0.9959999999999993
Processed Iteration 200,episodic return 1039.8545072842835, reward_pressure: 0.9920000000000002
Processed Iteration 250,episodic return 1160.9613647319875, reward_pressure: 1.0
Processed Iteration 300,episodic return 1300.5136757775283, reward_pressure: 1.0
Processed Iteration 350,episodic return 1357.504826418914, reward_pressure: 0.9995999999999999
Processed Iteration 400,episodic return 1346.5562453781042, reward_pressure: 1.0
Processed Iteration 450,episodic return 1398.6627491985446, reward_pressure: 0.998
Processed Iteration 500,episodic return 1504.3870128830263, reward_pressure: 0.9991999999999999
Processed Iteration 550,episodic return 1487.1234837190348, reward_pressure: 0.9807999999999992
Processed Iteration 600,episodic return 1314.176392460883, reward_pressure: 0.9991999999999999
Processed Iteration 650,episodic return 1450.3196578194297, reward_pressure: 0.9791999999999993
Processed Iteration 700,episodic return 1484.5541114971256, reward_pressure: 0.9592000000000006
Processed Iteration 750,episodic return 1445.3326227486177, reward_pressure: 0.9391999999999997
Processed Iteration 800,episodic return 1433.7734552201553, reward_pressure: 0.9192000000000009
Processed Iteration 850,episodic return 1606.833793793676, reward_pressure: 0.8991999999999993
Processed Iteration 900,episodic return 1479.3729477488707, reward_pressure: 0.8931999999999991
Processed Iteration 950,episodic return 1627.9922856137232, reward_pressure: 0.924
Processed Iteration 1000,episodic return 1559.0424722246398, reward_pressure: 0.9500000000000004
Processed Iteration 1050,episodic return 1638.5404796529049, reward_pressure: 0.9499999999999997
Processed Iteration 1100,episodic return 1685.3692818790992, reward_pressure: 0.9320000000000005
Processed Iteration 1150,episodic return 1653.67488624526, reward_pressure: 0.9552000000000005
Processed Iteration 1200,episodic return 1614.692025739743, reward_pressure: 0.9568000000000006
Processed Iteration 1250,episodic return 1517.3022394000377, reward_pressure: 0.9479999999999998
Processed Iteration 1300,episodic return 1575.2853774352811, reward_pressure: 0.9280000000000009
Processed Iteration 1350,episodic return 1525.022813161491, reward_pressure: 0.9079999999999991
Processed Iteration 1400,episodic return 1498.9365331396011, reward_pressure: 0.8880000000000003
Processed Iteration 1450,episodic return 1623.1818970625295, reward_pressure: 0.8679999999999995
Processed Iteration 1500,episodic return 1598.5361746573838, reward_pressure: 0.8480000000000006
Processed Iteration 1550,episodic return 1495.4120063302962, reward_pressure: 0.8280000000000001
Processed Iteration 1600,episodic return 1508.5708219327366, reward_pressure: 0.8079999999999997
Processed Iteration 1650,episodic return 1641.82870750717, reward_pressure: 0.7880000000000007
Processed Iteration 1700,episodic return 1532.6765128047432, reward_pressure: 0.7679999999999987
Processed Iteration 1750,episodic return 1668.3904830732326, reward_pressure: 0.7788000000000004
Processed Iteration 1800,episodic return 1464.5230591722682, reward_pressure: 0.7611999999999988
Processed Iteration 1850,episodic return 1540.2169440397722, reward_pressure: 0.7411999999999996
Processed Iteration 1900,episodic return 1620.9159110091177, reward_pressure: 0.7211999999999992
Processed Iteration 1950,episodic return 1587.1778627651863, reward_pressure: 0.7011999999999996
Processed Iteration 2000,episodic return 1619.520762322186, reward_pressure: 0.6811999999999998
