Processed Iteration 50,episodic return -65.33884141574399, reward_pressure: 1.0
Processed Iteration 100,episodic return 439.8835819978833, reward_pressure: 1.0
Processed Iteration 150,episodic return 949.5313195806183, reward_pressure: 1.0
Processed Iteration 200,episodic return 1530.1897668366528, reward_pressure: 1.0
Processed Iteration 250,episodic return 1870.756912427674, reward_pressure: 1.0
Processed Iteration 300,episodic return 2242.586158324098, reward_pressure: 1.0
Processed Iteration 350,episodic return 2299.2314677825902, reward_pressure: 1.0
Processed Iteration 400,episodic return 2318.718970575511, reward_pressure: 0.9872
Processed Iteration 450,episodic return 2508.172411307456, reward_pressure: 1.0
Processed Iteration 500,episodic return 2490.0469713361917, reward_pressure: 1.0
Processed Iteration 550,episodic return 2433.5882079003686, reward_pressure: 1.0
Processed Iteration 600,episodic return 2506.847231641482, reward_pressure: 0.986399999999999
Processed Iteration 650,episodic return 2609.399767821281, reward_pressure: 0.9664000000000006
Processed Iteration 700,episodic return 2668.0000849516887, reward_pressure: 0.9771999999999992
Processed Iteration 750,episodic return 2677.0914029471837, reward_pressure: 0.9735999999999992
Processed Iteration 800,episodic return 2525.0142640457752, reward_pressure: 0.9692000000000006
Processed Iteration 850,episodic return 2558.98208425959, reward_pressure: 0.9491999999999997
Processed Iteration 900,episodic return 2555.1072050167695, reward_pressure: 0.9292000000000009
Processed Iteration 950,episodic return 2547.5579420346885, reward_pressure: 0.9091999999999993
Processed Iteration 1000,episodic return 2619.3981100907804, reward_pressure: 0.8892000000000004
Processed Iteration 1050,episodic return 2752.4723209913423, reward_pressure: 0.8691999999999994
Processed Iteration 1100,episodic return 2690.2935336284972, reward_pressure: 0.8748000000000001
Processed Iteration 1150,episodic return 2557.9583322413046, reward_pressure: 0.8651999999999995
Processed Iteration 1200,episodic return 2371.8447671525905, reward_pressure: 0.8452000000000006
Processed Iteration 1250,episodic return 2273.190595204083, reward_pressure: 0.8252000000000002
Processed Iteration 1300,episodic return 2457.071549455057, reward_pressure: 0.8051999999999998
Processed Iteration 1350,episodic return 2177.56232703507, reward_pressure: 0.7852000000000006
Processed Iteration 1400,episodic return 2415.750946656207, reward_pressure: 0.7651999999999987
Processed Iteration 1450,episodic return 2437.974533556838, reward_pressure: 0.7451999999999996
Processed Iteration 1500,episodic return 2465.380228046451, reward_pressure: 0.7251999999999993
Processed Iteration 1550,episodic return 2497.1565237632058, reward_pressure: 0.7051999999999997
Processed Iteration 1600,episodic return 2415.362525071521, reward_pressure: 0.6851999999999997
Processed Iteration 1650,episodic return 2416.784534896495, reward_pressure: 0.6652
Processed Iteration 1700,episodic return 2392.1218562402055, reward_pressure: 0.6452000000000004
Processed Iteration 1750,episodic return 2514.555343315377, reward_pressure: 0.6252000000000002
Processed Iteration 1800,episodic return 2489.4765174634226, reward_pressure: 0.6052000000000004
Processed Iteration 1850,episodic return 2558.04368015957, reward_pressure: 0.5851999999999992
Processed Iteration 1900,episodic return 2542.1172330698846, reward_pressure: 0.565199999999999
Processed Iteration 1950,episodic return 2509.652284523084, reward_pressure: 0.5491999999999992
Processed Iteration 2000,episodic return 2500.1605540425335, reward_pressure: 0.555999999999999
