Processed Iteration 50,episodic return -120.51378893637172, reward_pressure: 1.0
Processed Iteration 100,episodic return 325.8677762189806, reward_pressure: 1.0
Processed Iteration 150,episodic return 911.176600260959, reward_pressure: 1.0
Processed Iteration 200,episodic return 1568.1272546912646, reward_pressure: 1.0
Processed Iteration 250,episodic return 2096.609058048693, reward_pressure: 1.0
Processed Iteration 300,episodic return 2445.504377904675, reward_pressure: 1.0
Processed Iteration 350,episodic return 2632.883289285389, reward_pressure: 1.0
Processed Iteration 400,episodic return 2670.744690531777, reward_pressure: 0.9500000000000006
Processed Iteration 450,episodic return 2692.737352835035, reward_pressure: 0.9450000000000006
Processed Iteration 500,episodic return 2536.664367429721, reward_pressure: 0.9049999999999991
Processed Iteration 550,episodic return 2723.230003415008, reward_pressure: 0.8550000000000008
Processed Iteration 600,episodic return 2787.801262691218, reward_pressure: 0.8049999999999997
Processed Iteration 650,episodic return 2666.697829824022, reward_pressure: 0.7649999999999996
Processed Iteration 700,episodic return 2679.4590749701974, reward_pressure: 0.7900000000000003
Processed Iteration 750,episodic return 2607.882934122988, reward_pressure: 0.7400000000000003
Processed Iteration 800,episodic return 2645.420843768416, reward_pressure: 0.6899999999999993
Processed Iteration 850,episodic return 2648.558528209627, reward_pressure: 0.6399999999999997
Processed Iteration 900,episodic return 2743.870713204167, reward_pressure: 0.5900000000000003
Processed Iteration 950,episodic return 2734.55993470699, reward_pressure: 0.5399999999999998
Processed Iteration 1000,episodic return 2566.3808928971634, reward_pressure: 0.48999999999999977
Processed Iteration 1050,episodic return 2768.0583987533887, reward_pressure: 0.4399999999999992
Processed Iteration 1100,episodic return 2669.839725602356, reward_pressure: 0.4479999999999994
Processed Iteration 1150,episodic return 2696.031232785901, reward_pressure: 0.4019999999999997
Processed Iteration 1200,episodic return 2710.974872156175, reward_pressure: 0.35199999999999976
Processed Iteration 1250,episodic return 2768.0127569336805, reward_pressure: 0.3019999999999994
Processed Iteration 1300,episodic return 2691.494266208898, reward_pressure: 0.25199999999999984
Processed Iteration 1350,episodic return 2702.595434735, reward_pressure: 0.20199999999999946
Processed Iteration 1400,episodic return 2804.3234605479142, reward_pressure: 0.15199999999999952
Processed Iteration 1450,episodic return 2863.884471941983, reward_pressure: 0.12699999999999956
Processed Iteration 1500,episodic return 2809.4474240185814, reward_pressure: 0.12499999999999963
Processed Iteration 1550,episodic return 2925.257032562103, reward_pressure: 0.07499999999999975
Processed Iteration 1600,episodic return 2792.038941307723, reward_pressure: 0.024999999999999842
Processed Iteration 1650,episodic return 2696.9734073771983, reward_pressure: 0.0
Processed Iteration 1700,episodic return 2735.9670244749454, reward_pressure: 0.0
Processed Iteration 1750,episodic return 2724.918784257875, reward_pressure: 0.0
Processed Iteration 1800,episodic return 2715.381418632509, reward_pressure: 0.0
Processed Iteration 1850,episodic return 2597.688676679228, reward_pressure: 0.0
Processed Iteration 1900,episodic return 2607.463154457485, reward_pressure: 0.0
Processed Iteration 1950,episodic return 2562.245836739796, reward_pressure: 0.0
Processed Iteration 2000,episodic return 2739.591647937925, reward_pressure: 0.0
