Processed Iteration 50,episodic return 66.36934001505892, reward_pressure: 1.0
Processed Iteration 100,episodic return 1154.492496296775, reward_pressure: 1.0
Processed Iteration 150,episodic return 1822.4692992721027, reward_pressure: 1.0
Processed Iteration 200,episodic return 2131.4341276525965, reward_pressure: 1.0
Processed Iteration 250,episodic return 1914.444865888451, reward_pressure: 1.0
Processed Iteration 300,episodic return 2555.455892997967, reward_pressure: 1.0
Processed Iteration 350,episodic return 3606.699572094421, reward_pressure: 1.0
Processed Iteration 400,episodic return 3549.8827859342564, reward_pressure: 0.980000000000001
Processed Iteration 450,episodic return 3581.5816972220982, reward_pressure: 0.9299999999999992
Processed Iteration 500,episodic return 4037.9311183687078, reward_pressure: 0.9330000000000007
Processed Iteration 550,episodic return 4308.822221186474, reward_pressure: 0.916999999999999
Processed Iteration 600,episodic return 4227.576311806342, reward_pressure: 0.867000000000001
Processed Iteration 650,episodic return 4281.908318364167, reward_pressure: 0.8169999999999996
Processed Iteration 700,episodic return 4236.199904799477, reward_pressure: 0.767
Processed Iteration 750,episodic return 4162.321016042916, reward_pressure: 0.7169999999999999
Processed Iteration 800,episodic return 4253.192928169802, reward_pressure: 0.6669999999999991
Processed Iteration 850,episodic return 4337.1172521979715, reward_pressure: 0.6170000000000004
Processed Iteration 900,episodic return 4337.7415512779935, reward_pressure: 0.567
Processed Iteration 950,episodic return 4356.968539563032, reward_pressure: 0.5169999999999999
Processed Iteration 1000,episodic return 4183.338366319691, reward_pressure: 0.46699999999999947
Processed Iteration 1050,episodic return 4337.10322891264, reward_pressure: 0.4169999999999996
Processed Iteration 1100,episodic return 4483.11015140186, reward_pressure: 0.36699999999999977
Processed Iteration 1150,episodic return 4326.7699732790325, reward_pressure: 0.3169999999999993
Processed Iteration 1200,episodic return 4503.588525770011, reward_pressure: 0.2669999999999999
Processed Iteration 1250,episodic return 4472.302988170943, reward_pressure: 0.2169999999999994
Processed Iteration 1300,episodic return 4526.33564246495, reward_pressure: 0.1669999999999996
Processed Iteration 1350,episodic return 4559.892475746025, reward_pressure: 0.11699999999999966
Processed Iteration 1400,episodic return 4539.36632294362, reward_pressure: 0.06699999999999974
Processed Iteration 1450,episodic return 4606.120549508752, reward_pressure: 0.05999999999999993
Processed Iteration 1500,episodic return 4547.938786715649, reward_pressure: 0.08299999999999998
Processed Iteration 1550,episodic return 4567.018446394336, reward_pressure: 0.045
Processed Iteration 1600,episodic return 4539.2253268983495, reward_pressure: 0.03800000000000002
Processed Iteration 1650,episodic return 4525.372467592073, reward_pressure: 0.0
Processed Iteration 1700,episodic return 4564.532542223667, reward_pressure: 0.0
Processed Iteration 1750,episodic return 4568.217679076963, reward_pressure: 0.0
Processed Iteration 1800,episodic return 4509.242294773317, reward_pressure: 0.0
Processed Iteration 1850,episodic return 4558.303951587837, reward_pressure: 0.0
Processed Iteration 1900,episodic return 4516.151394216984, reward_pressure: 0.0
Processed Iteration 1950,episodic return 4550.488500745867, reward_pressure: 0.0
Processed Iteration 2000,episodic return 4566.9838302878525, reward_pressure: 0.0
