Processed Iteration 50,episodic return -15.039606102242569, reward_pressure: 1.0
Processed Iteration 100,episodic return 613.9692903082841, reward_pressure: 1.0
Processed Iteration 150,episodic return 1405.2529865743743, reward_pressure: 1.0
Processed Iteration 200,episodic return 1912.1488585886111, reward_pressure: 1.0
Processed Iteration 250,episodic return 2251.7429050133096, reward_pressure: 1.0
Processed Iteration 300,episodic return 2500.9857373080486, reward_pressure: 1.0
Processed Iteration 350,episodic return 2819.456446834168, reward_pressure: 1.0
Processed Iteration 400,episodic return 2942.6114028444954, reward_pressure: 1.0
Processed Iteration 450,episodic return 3187.7687023223366, reward_pressure: 1.0
Processed Iteration 500,episodic return 3461.156380354182, reward_pressure: 1.0
Processed Iteration 550,episodic return 3465.1445772492657, reward_pressure: 0.9990000000000001
Processed Iteration 600,episodic return 3483.286681079491, reward_pressure: 0.998
Processed Iteration 650,episodic return 3490.227795788205, reward_pressure: 1.0
Processed Iteration 700,episodic return 3507.0779704501965, reward_pressure: 0.9810000000000006
Processed Iteration 750,episodic return 3462.500715116081, reward_pressure: 0.9950000000000003
Processed Iteration 800,episodic return 3543.939495127448, reward_pressure: 0.9709999999999996
Processed Iteration 850,episodic return 3549.7072443362167, reward_pressure: 0.9890000000000003
Processed Iteration 900,episodic return 3581.4847032350317, reward_pressure: 0.9900000000000005
Processed Iteration 950,episodic return 3651.0012529390788, reward_pressure: 0.943
Processed Iteration 1000,episodic return 3675.1289878827274, reward_pressure: 0.9470000000000003
Processed Iteration 1050,episodic return 3675.873122449964, reward_pressure: 0.8969999999999994
Processed Iteration 1100,episodic return 3678.29249039921, reward_pressure: 0.8470000000000004
Processed Iteration 1150,episodic return 3720.6874998314765, reward_pressure: 0.8409999999999996
Processed Iteration 1200,episodic return 3816.6520182558284, reward_pressure: 0.8800000000000003
Processed Iteration 1250,episodic return 3847.8470078639207, reward_pressure: 0.8789999999999992
Processed Iteration 1300,episodic return 3832.2614380190043, reward_pressure: 0.8710000000000008
Processed Iteration 1350,episodic return 3826.981731275041, reward_pressure: 0.8209999999999995
Processed Iteration 1400,episodic return 3900.78740524408, reward_pressure: 0.7869999999999996
Processed Iteration 1450,episodic return 3927.550489962078, reward_pressure: 0.8270000000000008
Processed Iteration 1500,episodic return 3753.8259285979902, reward_pressure: 0.8229999999999995
Processed Iteration 1550,episodic return 3879.4065393666388, reward_pressure: 0.7730000000000001
Processed Iteration 1600,episodic return 3846.765556881323, reward_pressure: 0.723
Processed Iteration 1650,episodic return 3766.2936705984584, reward_pressure: 0.6729999999999989
Processed Iteration 1700,episodic return 3896.481682003678, reward_pressure: 0.6230000000000007
Processed Iteration 1750,episodic return 3838.9337085783145, reward_pressure: 0.5730000000000001
Processed Iteration 1800,episodic return 3816.1423855031912, reward_pressure: 0.5229999999999998
Processed Iteration 1850,episodic return 3843.515240354749, reward_pressure: 0.47299999999999953
Processed Iteration 1900,episodic return 3895.427583232333, reward_pressure: 0.4229999999999995
Processed Iteration 1950,episodic return 3945.955871681894, reward_pressure: 0.37299999999999983
Processed Iteration 2000,episodic return 3887.919182350614, reward_pressure: 0.3229999999999993
