Processed Iteration 50,episodic return -100.3495381612139, reward_pressure: 1.0
Processed Iteration 100,episodic return 436.5976587700618, reward_pressure: 1.0
Processed Iteration 150,episodic return 1083.1552767483588, reward_pressure: 1.0
Processed Iteration 200,episodic return 1504.825953746484, reward_pressure: 1.0
Processed Iteration 250,episodic return 1818.1115596434565, reward_pressure: 1.0
Processed Iteration 300,episodic return 1940.0545319354615, reward_pressure: 1.0
Processed Iteration 350,episodic return 2178.9838120934496, reward_pressure: 1.0
Processed Iteration 400,episodic return 2081.945956062814, reward_pressure: 1.0
Processed Iteration 450,episodic return 2321.803812443213, reward_pressure: 0.9650000000000007
Processed Iteration 500,episodic return 2358.5881506434644, reward_pressure: 0.9739999999999998
Processed Iteration 550,episodic return 2372.7337638831364, reward_pressure: 1.0
Processed Iteration 600,episodic return 2355.6394398107122, reward_pressure: 1.0
Processed Iteration 650,episodic return 2373.42070993935, reward_pressure: 0.9530000000000007
Processed Iteration 700,episodic return 2481.1909360332174, reward_pressure: 0.9119999999999999
Processed Iteration 750,episodic return 2372.138609100869, reward_pressure: 0.9409999999999998
Processed Iteration 800,episodic return 2427.0794639162327, reward_pressure: 0.8909999999999997
Processed Iteration 850,episodic return 2410.9386547226195, reward_pressure: 0.841
Processed Iteration 900,episodic return 2571.1259104384244, reward_pressure: 0.8480000000000006
Processed Iteration 950,episodic return 2546.941285954873, reward_pressure: 0.8019999999999997
Processed Iteration 1000,episodic return 2688.783686174622, reward_pressure: 0.7519999999999999
Processed Iteration 1050,episodic return 2543.6815710107585, reward_pressure: 0.7019999999999997
Processed Iteration 1100,episodic return 2557.612771606568, reward_pressure: 0.6519999999999994
Processed Iteration 1150,episodic return 2553.201958008146, reward_pressure: 0.6020000000000004
Processed Iteration 1200,episodic return 2508.5527169218726, reward_pressure: 0.5519999999999999
Processed Iteration 1250,episodic return 2545.1312956301504, reward_pressure: 0.5019999999999999
Processed Iteration 1300,episodic return 2615.8868266960826, reward_pressure: 0.4519999999999994
Processed Iteration 1350,episodic return 2489.8524198764185, reward_pressure: 0.4019999999999997
Processed Iteration 1400,episodic return 2299.1154740039583, reward_pressure: 0.35199999999999976
Processed Iteration 1450,episodic return 2454.871352631745, reward_pressure: 0.3019999999999994
Processed Iteration 1500,episodic return 2196.573789115374, reward_pressure: 0.25199999999999984
Processed Iteration 1550,episodic return 2301.9310717294807, reward_pressure: 0.20199999999999946
Processed Iteration 1600,episodic return 2130.07343878297, reward_pressure: 0.15199999999999952
Processed Iteration 1650,episodic return 2185.957729059802, reward_pressure: 0.10199999999999966
Processed Iteration 1700,episodic return 2256.713470983095, reward_pressure: 0.05199999999999969
Processed Iteration 1750,episodic return 1935.043363343943, reward_pressure: 0.0019999999999999875
Processed Iteration 1800,episodic return 1912.1688818669622, reward_pressure: 0.0
Processed Iteration 1850,episodic return 2098.9882400474653, reward_pressure: 0.0
Processed Iteration 1900,episodic return 1884.0021622614402, reward_pressure: 0.0
Processed Iteration 1950,episodic return 1932.0376661986309, reward_pressure: 0.0
Processed Iteration 2000,episodic return 1969.8989649533034, reward_pressure: 0.0
