Processed Iteration 50,episodic return -84.14851087119139, reward_pressure: 1.0
Processed Iteration 100,episodic return 376.64483388990675, reward_pressure: 1.0
Processed Iteration 150,episodic return 484.13502258617706, reward_pressure: 1.0
Processed Iteration 200,episodic return 542.2228457358143, reward_pressure: 1.0
Processed Iteration 250,episodic return 673.6145521658035, reward_pressure: 1.0
Processed Iteration 300,episodic return 793.8296298364112, reward_pressure: 1.0
Processed Iteration 350,episodic return 876.7367618749453, reward_pressure: 1.0
Processed Iteration 400,episodic return 966.3136854773544, reward_pressure: 1.0
Processed Iteration 450,episodic return 1040.5360893467666, reward_pressure: 1.0
Processed Iteration 500,episodic return 1026.8033073858803, reward_pressure: 1.0
Processed Iteration 550,episodic return 1046.181904370389, reward_pressure: 1.0
Processed Iteration 600,episodic return 1070.8456471694328, reward_pressure: 1.0
Processed Iteration 650,episodic return 1087.2000358120727, reward_pressure: 1.0
Processed Iteration 700,episodic return 1078.1783976773559, reward_pressure: 1.0
Processed Iteration 750,episodic return 1050.0068374506718, reward_pressure: 1.0
Processed Iteration 800,episodic return 1078.9160933571627, reward_pressure: 1.0
Processed Iteration 850,episodic return 1064.319487519501, reward_pressure: 1.0
Processed Iteration 900,episodic return 1075.0510122831129, reward_pressure: 1.0
Processed Iteration 950,episodic return 1076.1913425365062, reward_pressure: 1.0
Processed Iteration 1000,episodic return 1056.5133067739348, reward_pressure: 1.0
Processed Iteration 1050,episodic return 1091.7383733007662, reward_pressure: 1.0
Processed Iteration 1100,episodic return 1070.5802481812561, reward_pressure: 1.0
Processed Iteration 1150,episodic return 1070.1125896770013, reward_pressure: 1.0
Processed Iteration 1200,episodic return 1082.262650681924, reward_pressure: 1.0
Processed Iteration 1250,episodic return 1096.3893421584246, reward_pressure: 1.0
Processed Iteration 1300,episodic return 1088.8833549615938, reward_pressure: 1.0
Processed Iteration 1350,episodic return 1108.7129403380009, reward_pressure: 1.0
Processed Iteration 1400,episodic return 1093.2050703442428, reward_pressure: 1.0
Processed Iteration 1450,episodic return 1108.6863860115345, reward_pressure: 1.0
Processed Iteration 1500,episodic return 1091.545502444138, reward_pressure: 1.0
Processed Iteration 1550,episodic return 1070.2595117162664, reward_pressure: 1.0
Processed Iteration 1600,episodic return 1088.8848378165835, reward_pressure: 1.0
Processed Iteration 1650,episodic return 1107.3149796180323, reward_pressure: 1.0
Processed Iteration 1700,episodic return 1098.762453837708, reward_pressure: 1.0
Processed Iteration 1750,episodic return 1093.869597485521, reward_pressure: 1.0
Processed Iteration 1800,episodic return 1091.0398708378773, reward_pressure: 1.0
Processed Iteration 1850,episodic return 1067.64879151797, reward_pressure: 1.0
Processed Iteration 1900,episodic return 1064.0134515140774, reward_pressure: 1.0
Processed Iteration 1950,episodic return 1063.3980560220052, reward_pressure: 1.0
Processed Iteration 2000,episodic return 1038.1279488261819, reward_pressure: 1.0
