Processed Iteration 50,episodic return -105.68038623396116, reward_pressure: 1.0
Processed Iteration 100,episodic return 526.8564585206236, reward_pressure: 1.0
Processed Iteration 150,episodic return 989.5371270020535, reward_pressure: 1.0
Processed Iteration 200,episodic return 1576.5434746781427, reward_pressure: 1.0
Processed Iteration 250,episodic return 1949.6761747173434, reward_pressure: 0.9992
Processed Iteration 300,episodic return 2216.4819502647324, reward_pressure: 1.0
Processed Iteration 350,episodic return 2299.964835974302, reward_pressure: 0.9967999999999995
Processed Iteration 400,episodic return 2505.5387000776304, reward_pressure: 0.9908000000000001
Processed Iteration 450,episodic return 2679.7113103822458, reward_pressure: 0.9983999999999997
Processed Iteration 500,episodic return 2588.7975330050836, reward_pressure: 0.9783999999999995
Processed Iteration 550,episodic return 2609.475142965735, reward_pressure: 0.9584000000000005
Processed Iteration 600,episodic return 2753.0272030374845, reward_pressure: 0.9456000000000004
Processed Iteration 650,episodic return 2606.2455214268125, reward_pressure: 0.9543999999999998
Processed Iteration 700,episodic return 2665.1853560922927, reward_pressure: 0.9344000000000007
Processed Iteration 750,episodic return 2767.949876065831, reward_pressure: 0.9192000000000009
Processed Iteration 800,episodic return 2854.9591725226437, reward_pressure: 0.9152000000000002
Processed Iteration 850,episodic return 2855.3698071527306, reward_pressure: 0.9080000000000004
Processed Iteration 900,episodic return 2862.6917658141138, reward_pressure: 0.9119999999999997
Processed Iteration 950,episodic return 2782.210020429475, reward_pressure: 0.8995999999999992
Processed Iteration 1000,episodic return 2853.7333338643007, reward_pressure: 0.8924000000000004
Processed Iteration 1050,episodic return 2859.528737712032, reward_pressure: 0.8887999999999991
Processed Iteration 1100,episodic return 2878.5522127124796, reward_pressure: 0.8912000000000003
Processed Iteration 1150,episodic return 2875.0355284435777, reward_pressure: 0.8711999999999995
Processed Iteration 1200,episodic return 2895.0768125613627, reward_pressure: 0.8512000000000006
Processed Iteration 1250,episodic return 2891.9818092983314, reward_pressure: 0.8312
Processed Iteration 1300,episodic return 2811.636598971626, reward_pressure: 0.8111999999999996
Processed Iteration 1350,episodic return 2938.063425905762, reward_pressure: 0.7912000000000006
Processed Iteration 1400,episodic return 2879.9243584063706, reward_pressure: 0.7711999999999992
Processed Iteration 1450,episodic return 2968.897090216874, reward_pressure: 0.7748000000000005
Processed Iteration 1500,episodic return 2859.350850009667, reward_pressure: 0.7651999999999987
Processed Iteration 1550,episodic return 2955.5192544095653, reward_pressure: 0.7451999999999996
Processed Iteration 1600,episodic return 2927.854636689479, reward_pressure: 0.7251999999999993
Processed Iteration 1650,episodic return 2854.3705634161242, reward_pressure: 0.7051999999999997
Processed Iteration 1700,episodic return 2956.3518219920957, reward_pressure: 0.6851999999999997
Processed Iteration 1750,episodic return 2868.503011107252, reward_pressure: 0.6995999999999997
Processed Iteration 1800,episodic return 2928.5697005189663, reward_pressure: 0.6803999999999997
Processed Iteration 1850,episodic return 2873.0213057902215, reward_pressure: 0.6603999999999999
Processed Iteration 1900,episodic return 3015.704567952288, reward_pressure: 0.6404000000000003
Processed Iteration 1950,episodic return 2957.674070312168, reward_pressure: 0.6204000000000002
Processed Iteration 2000,episodic return 3099.031393179234, reward_pressure: 0.6096000000000003
