Processed Iteration 50,episodic return -177.36151393171832, reward_pressure: 1.0
Processed Iteration 100,episodic return 298.7584119405682, reward_pressure: 1.0
Processed Iteration 150,episodic return 1620.8141231393652, reward_pressure: 1.0
Processed Iteration 200,episodic return 2643.3870012638317, reward_pressure: 1.0
Processed Iteration 250,episodic return 3095.1051271583965, reward_pressure: 1.0
Processed Iteration 300,episodic return 3360.0771677922735, reward_pressure: 1.0
Processed Iteration 350,episodic return 3642.0595579904925, reward_pressure: 0.9987999999999999
Processed Iteration 400,episodic return 4069.57191501577, reward_pressure: 0.9835999999999991
Processed Iteration 450,episodic return 4311.723589251424, reward_pressure: 0.9912000000000001
Processed Iteration 500,episodic return 4387.03686209699, reward_pressure: 0.9987999999999998
Processed Iteration 550,episodic return 4330.633732104841, reward_pressure: 0.9787999999999993
Processed Iteration 600,episodic return 4304.70627880521, reward_pressure: 0.9588000000000005
Processed Iteration 650,episodic return 4463.973070271497, reward_pressure: 0.9387999999999999
Processed Iteration 700,episodic return 4396.8695450369205, reward_pressure: 0.9188000000000008
Processed Iteration 750,episodic return 4452.746476811358, reward_pressure: 0.9100000000000007
Processed Iteration 800,episodic return 4400.587485052321, reward_pressure: 0.9099999999999995
Processed Iteration 850,episodic return 4577.816895301346, reward_pressure: 0.8900000000000005
Processed Iteration 900,episodic return 4480.624441996871, reward_pressure: 0.8699999999999994
Processed Iteration 950,episodic return 4387.598749093235, reward_pressure: 0.8500000000000005
Processed Iteration 1000,episodic return 4412.579083683159, reward_pressure: 0.83
Processed Iteration 1050,episodic return 4381.382055162458, reward_pressure: 0.8336000000000007
Processed Iteration 1100,episodic return 4198.371524145955, reward_pressure: 0.8264000000000001
Processed Iteration 1150,episodic return 4302.939757665406, reward_pressure: 0.8063999999999997
Processed Iteration 1200,episodic return 4401.596002727135, reward_pressure: 0.7864000000000005
Processed Iteration 1250,episodic return 4366.991424791381, reward_pressure: 0.7663999999999987
Processed Iteration 1300,episodic return 4197.913669644172, reward_pressure: 0.7463999999999996
Processed Iteration 1350,episodic return 4317.328053512089, reward_pressure: 0.7263999999999993
Processed Iteration 1400,episodic return 4351.839372635384, reward_pressure: 0.7063999999999997
Processed Iteration 1450,episodic return 4326.06238408895, reward_pressure: 0.6863999999999997
Processed Iteration 1500,episodic return 4572.5407481958455, reward_pressure: 0.6663999999999999
Processed Iteration 1550,episodic return 4501.991001094643, reward_pressure: 0.6464000000000003
Processed Iteration 1600,episodic return 4406.585893202937, reward_pressure: 0.6264000000000003
Processed Iteration 1650,episodic return 4472.294164565378, reward_pressure: 0.6064000000000004
Processed Iteration 1700,episodic return 4457.615713624138, reward_pressure: 0.5863999999999991
Processed Iteration 1750,episodic return 4253.943620147631, reward_pressure: 0.5663999999999991
Processed Iteration 1800,episodic return 4189.081980942479, reward_pressure: 0.5463999999999993
Processed Iteration 1850,episodic return 4363.208579169947, reward_pressure: 0.5263999999999995
Processed Iteration 1900,episodic return 4387.662307859625, reward_pressure: 0.5063999999999999
Processed Iteration 1950,episodic return 4166.381918010147, reward_pressure: 0.4864000000000002
Processed Iteration 2000,episodic return 4347.8261384087955, reward_pressure: 0.4663999999999998
