Processed Iteration 50,episodic return 114.26785156683846, reward_pressure: 1.0
Processed Iteration 100,episodic return 134.22285961026523, reward_pressure: 1.0
Processed Iteration 150,episodic return 146.0429735692348, reward_pressure: 1.0
Processed Iteration 200,episodic return 189.42387648437878, reward_pressure: 1.0
Processed Iteration 250,episodic return 245.48051624018098, reward_pressure: 1.0
Processed Iteration 300,episodic return 308.9516345071165, reward_pressure: 1.0
Processed Iteration 350,episodic return 341.7739481683174, reward_pressure: 1.0
Processed Iteration 400,episodic return 377.4174105898257, reward_pressure: 1.0
Processed Iteration 450,episodic return 303.8342110230761, reward_pressure: 1.0
Processed Iteration 500,episodic return 400.09927772919343, reward_pressure: 1.0
Processed Iteration 550,episodic return 358.33052811722723, reward_pressure: 1.0
Processed Iteration 600,episodic return 410.7993684488489, reward_pressure: 1.0
Processed Iteration 650,episodic return 568.091250951358, reward_pressure: 1.0
Processed Iteration 700,episodic return 797.7612003857679, reward_pressure: 1.0
Processed Iteration 750,episodic return 849.9402672919646, reward_pressure: 1.0
Processed Iteration 800,episodic return 662.1905289449933, reward_pressure: 1.0
Processed Iteration 850,episodic return 769.5674467271485, reward_pressure: 1.0
Processed Iteration 900,episodic return 1072.9720586104468, reward_pressure: 1.0
Processed Iteration 950,episodic return 1791.854707929506, reward_pressure: 1.0
Processed Iteration 1000,episodic return 1755.327703910757, reward_pressure: 1.0
Processed Iteration 1050,episodic return 1338.6928253641852, reward_pressure: 1.0
Processed Iteration 1100,episodic return 1289.0217014686784, reward_pressure: 1.0
Processed Iteration 1150,episodic return 1622.9644875334293, reward_pressure: 1.0
Processed Iteration 1200,episodic return 3891.744493096312, reward_pressure: 1.0
Processed Iteration 1250,episodic return 3570.334509948086, reward_pressure: 1.0
Processed Iteration 1300,episodic return 3063.6791994716173, reward_pressure: 1.0
Processed Iteration 1350,episodic return 4788.641020188407, reward_pressure: 1.0
Processed Iteration 1400,episodic return 6232.068185283311, reward_pressure: 1.0
Processed Iteration 1450,episodic return 5926.005507710543, reward_pressure: 1.0
Processed Iteration 1500,episodic return 2660.5444397652004, reward_pressure: 1.0
Processed Iteration 1550,episodic return 3022.7808827765652, reward_pressure: 1.0
Processed Iteration 1600,episodic return 4780.682938062142, reward_pressure: 1.0
Processed Iteration 1650,episodic return 5526.319554205651, reward_pressure: 1.0
Processed Iteration 1700,episodic return 4533.746905105697, reward_pressure: 1.0
Processed Iteration 1750,episodic return 4670.324916652109, reward_pressure: 1.0
Processed Iteration 1800,episodic return 3323.9810666413982, reward_pressure: 1.0
Processed Iteration 1850,episodic return 5629.171152567113, reward_pressure: 1.0
Processed Iteration 1900,episodic return 5590.766576054954, reward_pressure: 1.0
Processed Iteration 1950,episodic return 6047.2285063682175, reward_pressure: 1.0
Processed Iteration 2000,episodic return 3065.1732248360954, reward_pressure: 1.0
